2713.83994209,
2811.56673882,
2962.85429844,
3091.79910117,
3208.29700316,
3252.57023062,
3284.13530841,
3286.14787503,
3260.46848675,
3220.79055787,
3172.66857677,
3110.6748274,
3049.80749463,
2986.20157544,
2920.35503712
2855.38528437,
2791.86345507,
2732.85152015,
2686.92133131,
2635.39957867,
2587.80546099,
2549.27680833,
2517.30514389,
2477.31195713,
2424.48101968,
2352.42140417,
2271.04693086,
2203.99530253,
2122.34675926,
2045.73981304,
1960.31478532,
1862.46101055,
1778.14713591,
1699.85729247,
1620.07078266,
1552.24439593,
1495.38071457,
1459.63496005,
1450.80748675,
1452.60754153,
1452.25369937,
1485.67366436,
1548.3656623,
1656.8917297,
1778.78639585,
1917.21672879,
2067.06599678,
2227.68888402,
2411.04804265,
2600.42643926,
2789.12666323,
2901.19547909